41,81
856,1711
233,465
992,1983
240,479
354,707
651,1301
444,887
570,1139
991,1981
725,1449
722,1443
396,791
557,1113
509,1017
933,1865
303,605
584,1167
185,369
283,565
73,145
211,421
459,917
709,1417
184,367
296,591
850,1699
597,1193
172,343
489,977
861,1721
856,1711
233,465
992,1983
240,479
354,707
651,1301
444,887
570,1139
991,1981
725,1449
722,1443
396,791
557,1113
509,1017
933,1865
303,605
584,1167
185,369
283,565
73,145
211,421
459,917
709,1417
184,367
296,591
850,1699
597,1193
172,343
489,977
861,1721
856,1711
233,465
992,1983
240,479
354,707
651,1301
444,887
570,1139
991,1981
725,1449
722,1443
396,791
557,1113
509,1017
933,1865
303,605
584,1167
185,369
283,565
73,145
211,421
459,917
709,1417
184,367
296,591
850,1699
597,1193
172,343
489,977
861,1721
856,1711
233,465
992,1983
240,479
354,707
651,1301
444,887
570,1139
991,1981
