41,85
138,279
917,1836
609,1221
650,1303
508,1017
57,116
812,1626
111,225
908,1818
261,522
787,1577
935,1873
945,1893
967,1937
206,411
329,655
312,621
585,1173
576,1153
503,1007
600,1203
258,515
638,1279
176,354
121,245
154,311
650,1303
508,1017
57,116
812,1626
111,225
908,1818
261,522
787,1577
935,1873
945,1893
967,1937
206,411
329,655
312,621
585,1173
576,1153
503,1007
600,1203
258,515
638,1279
176,354
121,245
154,311
650,1303
508,1017
57,116
812,1626
111,225
908,1818
261,522
787,1577
935,1873
945,1893
967,1937
206,411
329,655
312,621
585,1173
576,1153
503,1007
600,1203
258,515
638,1279
176,354
121,245
154,311
650,1303
508,1017
57,116
812,1626
111,225
908,1818
261,522
787,1577
935,1873
945,1893
967,1937
206,411
329,655
312,621
585,1173
576,1153
503,1007
600,1203
258,515
638,1279
176,354
121,245
154,311
650,1303
508,1017
57,116
812,1626
